campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,rotation_p
rotation_p0.75_v7,S_p0.75,99,nivel2,50000,0.8013859481612432,0.040155374154425404,0.33914991276971396,0.16027718963224863,1.0,0.176984126984127,0.4507936507936508,5.0,0.9664210317934039,15.0,0.12628216485962918,0.09007531846435066,50000,2026-06-10T15:25:31Z,64.45172240000102,0.75
rotation_p1.00_v7,S_p1.00,99,nivel2,50000,1.2401530443256368,0.07163472550540949,0.22907464747662531,0.24803060886512746,1.0,0.18015873015873016,0.46111111111111114,8.0,0.8908953967860841,4.0,0.11653361961639501,0.13408083323001146,50000,2026-06-10T15:26:36Z,64.58432929999981,1.0
rotation_p0.00_v7,S_p0.00,314,nivel2,50000,0.9221449143089626,0.04683823505470176,0.2914915061428389,0.1844289828617925,0.9666666666666667,0.15476190476190477,0.4119047619047619,12.0,0.7812466666586088,12.0,0.3294345435469911,0.08698298732435843,50000,2026-06-10T15:27:37Z,60.595124899999064,0.0
rotation_p0.10_v7,S_p0.10,314,nivel2,50000,0.6720015255443289,0.03495928805803562,0.3055773065443724,0.13440030510886578,1.0,0.15793650793650793,0.4452380952380952,1.0,0.7283626983634248,16.0,0.20696285113461688,0.09805226631617567,50000,2026-06-10T15:28:29Z,52.051217400003225,0.1
rotation_p0.25_v7,S_p0.25,314,nivel2,50000,1.534886852252642,0.08169093601785424,0.19769632389310132,0.30697737045052836,1.0,0.19285714285714287,0.4746031746031746,1.0,0.718095634920968,-1.0,0.26589100449358233,0.06293749871624936,50000,2026-06-10T15:29:21Z,51.88046159999794,0.25
rotation_p0.50_v7,S_p0.50,314,nivel2,50000,1.3794982765777264,0.06701764446088691,0.24585186325899017,0.27589965531554517,1.0,0.1738095238095238,0.4388888888888889,1.0,0.7464574604657375,22.0,0.11876954086041952,0.07029734651081758,50000,2026-06-10T15:30:15Z,53.58533619999798,0.5
rotation_p0.75_v7,S_p0.75,314,nivel2,50000,2.0525155966606876,0.11249307219657448,0.1173282603070891,0.4105031193321376,1.0,0.17539682539682538,0.45634920634920634,1.0,0.7455256351051271,-1.0,0.21327607197869103,0.10351289645768372,50000,2026-06-10T15:31:09Z,54.02637659999891,0.75
rotation_p1.00_v7,S_p1.00,314,nivel2,50000,0.8721292710332386,0.042697751730813235,0.2821788890470405,0.1744258542066477,1.0,0.176984126984127,0.4492063492063492,1.0,0.7294865871771767,2.0,0.24779209604565983,0.08421210453705251,50000,2026-06-10T15:32:02Z,52.96318749999773,1.0
rotation_p0.00_v7,S_p0.00,1729,nivel2,50000,0.8130829326131643,0.04592827432674647,0.23157862893786935,0.16261658652263283,1.0,0.1380952380952381,0.3976190476190476,6.0,0.7010220634598111,14.0,0.11990126392982575,0.09726430096863496,50000,2026-06-10T15:32:55Z,52.40613310000481,0.0
rotation_p0.10_v7,S_p0.10,1729,nivel2,50000,0.6698693958496515,0.03527468167869153,0.5291916029293917,0.1339738791699303,1.0,0.1388888888888889,0.3976190476190476,1.0,0.7640421427144218,-1.0,0.2099223508889112,0.1170443912961504,50000,2026-06-10T15:33:47Z,52.039124400005676,0.1
rotation_p0.25_v7,S_p0.25,1729,nivel2,50000,-0.10458297105366057,-0.00541838502671542,0.6461475135414735,-0.020916594210732088,0.9666666666666667,0.15873015873015872,0.43174603174603177,6.0,0.7445114284766734,4.0,0.18378765837559422,0.128893352136276,50000,2026-06-10T15:34:41Z,53.785776700002316,0.25
rotation_p0.50_v7,S_p0.50,1729,nivel2,50000,0.2974146581322785,0.0164197518752403,0.44448127399889376,0.05948293162645566,1.0,0.18174603174603174,0.46984126984126984,7.0,0.7862345237848035,1.0,0.0858499070823888,0.11257623063965781,50000,2026-06-10T15:35:34Z,52.92630739999731,0.5
rotation_p0.75_v7,S_p0.75,1729,nivel2,50000,-0.22983673073346675,-0.012575326135879113,0.8281970455944351,-0.04596734614669331,1.0,0.14761904761904762,0.4515873015873016,18.0,0.7811045238913576,15.0,0.2946484101536638,0.11279411679142795,50000,2026-06-10T15:36:27Z,52.71895629999926,0.75
rotation_p1.00_v7,S_p1.00,1729,nivel2,50000,-0.3175877745873047,-0.016149584587182075,0.6593020222601655,-0.06351755491746089,1.0,0.15476190476190477,0.4531746031746032,6.0,0.7596288887725677,2.0,0.1871320454133967,0.1293827349627848,50000,2026-06-10T15:37:21Z,53.744507900002645,1.0
rotation_p0.00_v7,S_p0.00,65535,nivel2,50000,0.9275100119289716,0.04695184437479272,0.2147310584408696,0.18550200238579428,1.0,0.14603174603174604,0.39920634920634923,7.0,0.8318430953035464,5.0,0.04952392441545085,0.0698529610962741,50000,2026-06-10T15:38:15Z,53.48855829999957,0.0
rotation_p0.10_v7,S_p0.10,65535,nivel2,50000,0.6196962548595157,0.0325180155768975,0.43963105224834864,0.12393925097190314,1.0,0.18174603174603174,0.4396825396825397,7.0,0.7186256350068438,14.0,0.026734883218668827,0.06565152300594304,50000,2026-06-10T15:39:09Z,53.57116379999934,0.1
rotation_p0.25_v7,S_p0.25,65535,nivel2,50000,-0.1406814721692752,-0.007803276749484081,0.5635968245839572,-0.028136294433855007,0.9666666666666667,0.15714285714285714,0.43174603174603177,7.0,0.7143005555138059,8.0,0.09046647387358664,0.07796373477765138,50000,2026-06-10T15:40:02Z,52.963557399998535,0.25
rotation_p0.50_v7,S_p0.50,65535,nivel2,50000,0.6749859667990008,0.03668693255671175,0.4000292399046818,0.1349971933598001,1.0,0.16746031746031745,0.4365079365079365,4.0,0.7455803967685724,-1.0,-0.04282365499446911,0.09934141344544647,50000,2026-06-10T15:40:55Z,52.59164510000119,0.5
rotation_p0.75_v7,S_p0.75,65535,nivel2,50000,0.5072097401520628,0.027077572077569268,0.38122839793296714,0.10144194803041255,1.0,0.18968253968253967,0.4626984126984127,11.0,0.7749959524170706,10.0,0.19325331002509588,0.11883159859158121,50000,2026-06-10T15:41:48Z,52.615543199994136,0.75
rotation_p1.00_v7,S_p1.00,65535,nivel2,50000,0.221233410657536,0.010498554445391545,0.7818357918308789,0.04424668213150725,1.0,0.15634920634920635,0.44126984126984126,10.0,0.9283989683830268,6.0,0.051806298091279804,0.12446606154380946,50000,2026-06-10T16:53:58Z,57.75124109999888,1.0
